"","wave","gor","sex","age_30","notwhite","urban","imd3","domain","SampSize","Direct_01","SD_01_adj","var_01_adj","w_01_inv","Direct_num","SD_num_adj","var_num_adj","w_num_inv"
"1",2003,10,0,0,0,0,1,"10_0_0_0_0_1",0,NA,NA,NA,NA,NA,NA,NA,NA
"2",2004,10,0,0,0,0,1,"10_0_0_0_0_1",0,NA,NA,NA,NA,NA,NA,NA,NA
"3",2005,10,0,0,0,0,1,"10_0_0_0_0_1",24,0.49815437708197,0.149402596876864,0.0223211359535509,44.8005873034844,2.15678924992139,0.532972816951431,0.284060023609143,3.52038272508195
"4",2006,10,0,0,0,0,1,"10_0_0_0_0_1",20,0.255523087835517,0.127006029969544,0.0161305316486248,61.9942368784389,1.86469143103433,0.512545920664015,0.262703320789323,3.80657540603364
"5",2007,10,0,0,0,0,1,"10_0_0_0_0_1",24,0.467673125455439,0.200006685055383,0.0400026740668433,24.9983288199441,2.18900649545338,0.65130381599601,0.424196660730964,2.35739715224733
"6",2008,10,0,0,0,0,1,"10_0_0_0_0_1",10,0.358524603995084,0.218475208877147,0.047731416893913,20.9505618117849,2.12427762864504,0.845168511883691,0.714309813479693,1.39995276717338
"7",2009,10,0,0,0,0,1,"10_0_0_0_0_1",17,0.212791895825215,0.117076007076173,0.0137067914329001,72.9565343498058,1.89739310789819,0.549449515198345,0.301894769751696,3.3124124701547
"8",2010,10,0,0,0,0,1,"10_0_0_0_0_1",21,0.527484879888558,0.183645170448151,0.0337255486289304,29.6511114171225,2.56342618981887,0.663494127535132,0.440224457273606,2.27156847712003
"9",2011,10,0,0,0,0,1,"10_0_0_0_0_1",21,0.449759397627152,0.167010873879236,0.0278926319939061,35.8517618637953,2.41232215872448,0.657698828023706,0.432567748383757,2.31177660317116
"10",2012,10,0,0,0,0,1,"10_0_0_0_0_1",11,0.606842182007153,0.342314197926505,0.117179010102067,8.53395159362559,2.38424816766183,1.05508243331443,1.1131989410887,0.898312029494037
"11",2013,10,0,0,0,0,1,"10_0_0_0_0_1",16,0.518509277611819,0.184782703150955,0.0341446473837738,29.2871672903911,2.33416964945403,0.644219026909502,0.415018154632226,2.40953314653467
"12",2014,10,0,0,0,0,1,"10_0_0_0_0_1",16,0.637814691895236,0.22297952392872,0.0497198680914784,20.1126840916014,2.58167002969463,0.732003490210387,0.535829109680188,1.86626665467439
"13",2015,10,0,0,0,0,1,"10_0_0_0_0_1",12,0.493514456431146,0.205556051258069,0.0422532902088101,23.6667960070833,2.30667594841233,0.827300892597594,0.684426766892776,1.46107669713137
"14",2016,10,0,0,0,0,1,"10_0_0_0_0_1",11,0.45074920456717,0.198385369430939,0.0393567548042502,25.4085989806255,2.18355388706695,0.755959454028785,0.571474696135499,1.74985875448612
"15",2017,10,0,0,0,0,1,"10_0_0_0_0_1",11,0.574153781168614,0.22183009771826,0.049208592253693,20.3216542924971,2.53971040957357,0.800514447945755,0.640823381369898,1.5604923744547
"16",2018,10,0,0,0,0,1,"10_0_0_0_0_1",9,0.780442189773736,0.343572199214219,0.118041856072895,8.47157129910314,2.73577384984903,1.06776576832506,1.14012373600681,0.877097781949896
"17",2019,10,0,0,0,0,1,"10_0_0_0_0_1",11,0.431385482014524,0.200654726928904,0.0402623194389129,24.837118525107,2.32934760931525,0.766571203977338,0.587631410767265,1.70174701637257
"18",2022,10,0,0,0,0,1,"10_0_0_0_0_1",8,0.578716066499181,0.280689793434473,0.0787867601382873,12.6924879033583,2.33554669417696,0.929870573392854,0.864659283261955,1.15652491028312
"19",2023,10,0,0,0,0,1,"10_0_0_0_0_1",6,0.206208027188212,0.206114395959156,0.0424831442216079,23.5387473861075,1.82142059262888,0.881444756350553,0.776944858497886,1.28709262834091
"20",2003,10,0,0,0,0,2,"10_0_0_0_0_2",0,NA,NA,NA,NA,NA,NA,NA,NA
"21",2004,10,0,0,0,0,2,"10_0_0_0_0_2",0,NA,NA,NA,NA,NA,NA,NA,NA
